team_id,team_name,tla,year_founded,clubColors,stadium,crest
57,Arsenal FC,ARS,1886.0,Red / White,Emirates Stadium,https://crests.football-data.org/57.png
58,Aston Villa FC,AVL,1872.0,Claret / Sky Blue,Villa Park,https://crests.football-data.org/58.png
61,Chelsea FC,CHE,1905.0,Royal Blue / White,Stamford Bridge,https://crests.football-data.org/61.png
62,Everton FC,EVE,1878.0,Blue / White,Goodison Park,https://crests.football-data.org/62.png
63,Fulham FC,FUL,1879.0,White / Black,Craven Cottage,https://crests.football-data.org/63.png
64,Liverpool FC,LIV,1892.0,Red / White,Anfield,https://crests.football-data.org/64.png
65,Manchester City FC,MCI,1880.0,Sky Blue / White,Etihad Stadium,https://crests.football-data.org/65.png
66,Manchester United FC,MUN,1878.0,Red / White,Old Trafford,https://crests.football-data.org/66.png
67,Newcastle United FC,NEW,1881.0,Black / White,St. James' Park,https://crests.football-data.org/67.png
73,Tottenham Hotspur FC,TOT,1882.0,Navy Blue / White,Tottenham Hotspur Stadium,https://crests.football-data.org/73.png
76,Wolverhampton Wanderers FC,WOL,1877.0,Black / Gold,Molineux Stadium,https://crests.football-data.org/76.png
328,Burnley FC,BUR,1881.0,Claret / Sky Blue,Turf Moor,https://crests.football-data.org/328.png
351,Nottingham Forest FC,NOT,1865.0,Red / White,The City Ground,https://crests.football-data.org/351.png
354,Crystal Palace FC,CRY,1905.0,Red / Blue,Selhurst Park,https://crests.football-data.org/354.png
356,Sheffield United FC,SHE,,Red / White / Black,Bramall Lane,https://crests.football-data.org/356.png
389,Luton Town FC,LUT,1885.0,White / Navy Blue / Orange,Kenilworth Road Stadium,https://crests.football-data.org/389.png
397,Brighton & Hove Albion FC,BHA,1898.0,Blue / White,The American Express Community Stadium,https://crests.football-data.org/397.png
402,Brentford FC,BRE,1889.0,Red / White / Black,Griffin Park,https://crests.football-data.org/402.png
563,West Ham United FC,WHU,1895.0,Claret / Sky Blue,London Stadium,https://crests.football-data.org/563.png
1044,AFC Bournemouth,BOU,1890.0,Red / Black,Vitality Stadium,https://crests.football-data.org/bournemouth.png
